Git Repo Name,API Rate Limit,Cluster Type
httpstarterapi,50,1x
ivrcustnameaddapi,40,1x
sfcachestartupapi,25,1x
ivrcpslogoninfoapi,40,1x
userprofilesslv2api,25,1x
ivrmerchcheckverapi,250,1x
ivrpreauthapi,25,1x
ivrreadlogonidapi,40,1x
ebilprstsvclsrapi,25,1x
ivrremovedormantapi,25,1x
ivrssnpinapi,40,1x
ivrtxnlistapi,100,1x
hlthsavaccapi,25,1x
elndgglupdinqapi,110,1x
elndgglsrccodeapi,40,1x
ldmwrapperapi,40,1x
finprofilelookupapi,30,1x
getcontactlstapi,190,1x
legalentitywrapperapi,25,1x
listtaskstarterapi,25,1x
listtrgdtlstarterapi,25,1x
frontofficedocstoreapi,100,1x
formattedataapi,25,1x
crlaccaccmntapi,30,1x
intfcrlccountapi,25,1x
flexaccviewapi,50,1x
findcompanyapi,40,1x
filenetdocapi,340,1x
filenetdoctypeapi,40,1x
eventhandlerapi,25,1x
empowerclientapi,490,1x
emplrdeprecinqapi,280,1x
egx12routerlstapi,30,1x
ecommegx12routerapi,40,1x
egvectorcodlstapi,25,1x
egtradepartnerlstapi,25,1x
ecommegprofilemntapi,25,1x
ecomegprofilesvclstapi,25,1x
ecomegprofileadrlstapi,25,1x
egpayablestxnlstapi,25,1x
egnotificationlstapi,25,1x
egerrormsglstapi,25,1x
egentitlementsmntapi,25,1x
ecommegentlmtlstapi,25,1x
egcodesearchapi,40,1x
egchangeloglstapi,25,1x
egchangelogapi,25,1x
egbillplansvccodmntapi,25,1x
egbillplnsvccodlstapi,25,1x
egbillplanlstapi,25,1x
ecommegauthzlstapi,25,1x
egauditloglstapi,25,1x
egauditlogapi,25,1x
ecommprofileapi,25,1x
ebillsumapi,25,1x
ebillmasterapi,80,1x
ebillmakepmntapi,60,1x
ebillautopmntapi,25,1x
ebillactapi,25,1x
depprimecodeapi,40,1x
docconversionapi,25,1x
departmentsearchapi,25,1x
demntapi,260,1x
deinqapi,80,1x
dbtcrdpnvldapi,70,1x
debitcrdperznapi,60,1x
debitcrdmemoapi,130,1x
debitcrdcntlsetapi,50,1x
debitcrdcashrwdapi,180,1x
rlmveraccnumapi,25,1x
dlrfinanceautoloanapi,25,1x
ddasavaccinqapi,3110,1x
ddainqachumbrellaapi,270,1x
datasearchrlmapi,120,1x
astatdtcleanapi,25,1x
actdirectoryapi,840,1x
maintprospectsapi,40,1x
mobileappconfigapi,240,1x
contjournalapi,360,1x
complyctrnonclientmntapi,40,1x
cplctrexmsrchapi,240,1x
onlnbankrecipientapi ,25,1x
comlcrdtreportapi,40,1x
crlacccombstmtapi,25,1x
collatinqapi,260,1x
onstartuppwdsetapi,25,1x
fiservaccapi,200,1x
cmolacctxnwrapperapi,580,1x
ivrcasemngapi,140,1x
retailloansoapstartapi,60,1x
cmolaccwrapperapi,40,1x
cmolaccapi,100,1x
ofxwrpolbtxnapi,5530,1x
clipcrlintapi,40,1x
cifcltsearchapi,25,1x
loanindexupdapi,30,1x
ommaccountapi,220,1x
readadpayxrecapi,70,1x
reasgntrigsoapapi,40,1x
clntmailnotifapi,70,1x
retailloanpayoffapi,70,1x
clientemailcontapi,40,1x
clientbeneficiaryapi,350,1x
clntaccaddrapi,70,1x
reffrdvldtprmrefapi,25,1x
onlnmiscscrmsgapi,2560,1x
viewcifcommentsapi,650,1x
retailloanlineapi,40,1x
cifhouseholdapi,1380,1x
cifcompanysearchapi,50,1x
pegaalertmessageapi,25,1x
cifcodesapi,25,1x
cifclientmergeapi,40,1x
cifcnttalrtcontinfoapi,50,1x
cifauditapi,300,1x
bankprocheckapi,100,1x
bankruptcyupdapi,25,1x
checkorderdtlapi,50,1x
pegaalertsyslog,25,1x
pendingpromptinqapi,540,1x
laserprocasecrtapi,25,1x
centersearchapi,220,1x
centermanagerapi,150,1x
cdirapnltcalapi,25,1x
cdiramodlrateexcpapi,70,1x
cdiracustmntapi,25,1x
cdiraclsvalinqapi,70,1x
cdiraasgncautninqapi,70,1x
cdiraasgncautnapi,70,1x
bankprocdiraaccinqapi,80,1x
callequifaxcrdtrptapi,25,1x
calculatecrdtlmtapi,25,1x
cifbusinessownersapi,30,1x
ommtransferwebapi,180,1x
retailloanlineinqapi,70,1x
cifacclistapi,900,1x
ommuserwebapi,290,1x
documentretrieveapi,40,1x
documentuploadapi,25,1x
filentfrdclmchkimapi,25,1x
refreshirmlookupapi,25,1x
refreshloginapi,25,1x
resumeretryapi,25,1x
exchgemailclndrapi,25,1x
ldmcreateupdateapi,25,1x
truistatworkapi,240,1x
checkorderapi,90,1x
retailloantraninqapi,160,1x
bankregionsearchapi,25,1x
cmbankprocodtblrtvapi,40,1x
bankownedtaxidsapi,40,1x
bankcrdrwdpolicyapi,25,1x
bankcrdratemasterapi,25,1x
bankcrdprdapi,70,1x
bankcrdadverseactnapi,25,1x
bankproballblapi,40,1x
bankproatmtxninqapi,150,1x
atmereceiptsapi,190,1x
archiveappldataapi,25,1x
receiptcaptureapi,3650,1x
trustbuildersupportapi,30,1x
cifaltaddapi,70,1x
cifaltaddraccapi,150,1x
alertsenrollmentapi,25,1x
aifaccmntapi,40,1x
agtasksearchapi,40,1x
agdocsearchapi,25,1x
afsworkdateapi,180,1x
igadviginqapi,290,1x
adflmntapi,25,1x
cifaddrnormalizapi,40,1x
cifaddclientincomeapi,40,1x
callctractcodapi,25,1x
iginquiryapi,210,1x
mobiusstarterapi,25,1x
crlaccactvtdebcardapi,30,1x
achonlnapi,450,1x
achenrollapi,30,1x
achcompanyidinqapi,25,1x
cifaccholdrlnapi,60,1x
callctracctranslationapi,40,1x
writeadpayxrecapi,25,1x
accsearchapi,1760,1x
bulkdataaccvldtapi,25,1x
checkaccnumapi,70,1x
crlaccholdapi,4390,1x
spacecodeapi,40,1x
